Person,GK,DF,MF,FW
Abby,8,14,23,6
Ed,7,13,20,11
Francis,6,18,16,11
George,8,18,16,9
Hannah,5,14,19,13
Ivan,7,16,17,11
Ken,2,16,15,18
Myles,9,16,16,10
Numan,5,20,13,13
Pat,8,21,16,6
Rhys,4,12,20,15
Richard,7,17,12,15
Rob,6,15,15,15
Sanjeev,5,19,20,7
Sarah,7,11,17,16
Spare,0,7,5,1
Tim,5,22,15,9
